Date,Distance,Vit. moy.,Temps parcours,Denivele +,m/km,Fréq. card.,Vélo,Meteo,Commentaires
23-12-10,46,0,0h00,0,0.0,0,Performer GoalX26,,vélotaf de la semaine
17-12-10,181,0,0h00,0,0.0,0,Performer GoalX26,,2 semaines de vélotaf dont 1 jour sous la neige
03-12-10,59,0,0h00,0,0.0,0,Performer GoalX26,sous la neige (40cm),velotaf de la semaine
26-11-10,90,0,0h00,0,0.0,0,Performer GoalX26,,velotaf de la semaine
19-11-10,70,0,0h00,0,0.0,0,Performer GoalX26,,vélotaf de la semaine
12-11-10,90,0,0h00,0,0.0,0,Performer GoalX26,,vélotaf de la semaine
05-11-10,67,0,0h00,0,0.0,0,Performer GoalX26,,vélotaf de la semaine
29-10-10,248,0,0h00,0,0.0,0,Performer GoalX26,,3 semaines de vélotaf
08-10-10,105,0,0h00,0,0.0,0,Performer GoalX26,,Vélotaf de la semaine 1er chez Moodys
01-10-10,32,0,0h00,0,0.0,0,Performer GoalX26,,inter-contrat
22-09-10,90,0,0h00,0,0.0,0,Performer GoalX26,,dernier vélotaf Atos-Corys
11-09-10,82,0,0h00,0,0.0,0,Performer GoalX26,,Vélotaf de la semaine
05-09-10,137,0,0h00,1000,7.3,0,Performer GoalX26,,La vipérine + allé retour de villard-bonnot
03-09-10,52,0,0h00,0,0.0,0,Performer GoalX26,,Vélotaf de la semaine
24-08-10,80,0,0h00,0,0.0,0,Performer GoalX26,,Vélotaf de la semaine
20-08-10,90,0,0h00,0,0.0,0,Performer GoalX26,,velotaf de la semaine
13-08-10,45,0,0h00,0,0.0,0,Performer GoalX26,,vélotaf de la semaine
18-07-10,20,0,0h00,0,0.0,0,Performer GoalX26,,retour vélo de la gare de grenoble 
15-07-10,22,0,0h00,0,0.0,0,Performer GoalX26,,vélotaf de la semaine
11-07-10,250,0,0h00,700,2.8,0,Performer GoalX26,,Villard-Bonnot Mionnay en passant par Vinay 197 km retour le dimanche train vélo avec Nath
09-07-10,87,0,0h00,0,0.0,0,Performer GoalX26,,vélotaf de la semaine
03-07-10,21,0,0h00,0,0.0,0,Performer GoalX26,,préparation coupe d'europe de touch' Montbonnot
02-07-10,123,0,0h00,0,0.0,0,Performer GoalX26,,Vélotaf de la semaine
26-06-10,25,0,0h00,0,0.0,0,Performer GoalX26,,WE camping lac annecy avec les enfants
25-06-10,100,0,0h00,0,0.0,0,Performer GoalX26,,Vélotaf de la semaine
17-06-10,100,0,0h00,0,0.0,0,Performer GoalX26,,vélotaf de la semaine + championnat Bachelard
14-06-10,30,0,0h00,0,0.0,0,La Mule (Autoconstruction),,premiere sortie avec la Mule
11-06-10,115,0,0h00,0,0.0,0,Performer GoalX26,,Vélotaf de la semaine 
04-06-10,85,0,0h00,0,0.0,0,Performer GoalX26,,vélotaf de la semaine + match bachelard
28-05-10,71,0,0h00,0,0.0,0,Performer GoalX26,,Vélotaf de la semaine
20-05-10,94,0,0h00,0,0.0,0,Performer GoalX26,,Vélotaf de la semaine
14-05-10,90,0,0h00,0,0.0,0,Performer GoalX26,,Vélotaf de la semaine
07-05-10,44,0,0h00,0,0.0,0,Performer GoalX26,,Vélotaf de la semaine
30-04-10,96,0,0h00,0,0.0,0,Performer GoalX26,,Vélotaf de la semaine
26-04-10,90,0,0h00,0,0.0,0,Performer GoalX26,,Vélotaf de la semaine
16-04-10,68,0,0h00,0,0.0,0,Performer GoalX26,,Vélotaf de la semaine
09-04-10,67,0,0h00,0,0.0,0,Performer GoalX26,,Vélotaf de la semaine
02-04-10,115,0,0h00,0,0.0,0,Performer GoalX26,,Vélotaf de la semaine
26-03-10,140,0,0h00,0,0.0,0,Performer GoalX26,,Vélotaf de la semaine
18-03-10,72,0,0h00,0,0.0,0,Performer GoalX26,,Vélotaf de la semaine
12-03-10,100,0,0h00,0,0.0,0,Performer GoalX26,,Vélotaf de la semaine
05-03-10,105,0,0h00,0,0.0,0,Performer GoalX26,,Vélotaf de la semaine
26-02-10,74,0,0h00,0,0.0,0,Performer GoalX26,,Vélotaf de la semaine
19-02-10,103,0,0h00,0,0.0,0,Performer GoalX26,,vélotaf de la semaine
14-02-10,101,0,0h00,0,0.0,0,Performer GoalX26,,vélotaf de la semaine (1ere semaine avec la dynoma son)
04-02-10,40,0,0h00,0,0.0,0,Performer GoalX26,,vélotaf de la semaine
30-01-10,120,0,0h00,0,0.0,0,Performer GoalX26,,velotaf de la semaine + tournoi Winter touch'
21-01-10,80,0,0h00,0,0.0,0,Performer GoalX26,,vélotaf de la semaine
